Gen;Avg Gen Fitness;Fit of Gen best;Fit of Total Best;total best contact cnt;total best overlaps cnt;crossover rate;mutation rate
237;9,621536;10,000000;10,000000;10;0;0,000000;0,000000
238;9,617917;10,000000;10,000000;10;0;0,000000;0,000000
239;9,695000;10,000000;10,000000;10;0;0,000000;0,000000
240;9,795000;10,000000;10,000000;10;0;0,000000;0,000000
241;9,693750;10,000000;10,000000;10;0;0,000000;0,000000
242;9,531786;10,000000;10,000000;10;0;0,000000;0,000000
243;9,698125;10,000000;10,000000;10;0;0,000000;0,000000
244;9,671250;10,000000;10,000000;10;0;0,000000;0,000000
245;9,660589;10,000000;10,000000;10;0;0,000000;0,000000
246;9,590833;10,000000;10,000000;10;0;0,000000;0,000000
247;9,601667;10,000000;10,000000;10;0;0,000000;0,000000
248;9,533333;10,000000;10,000000;10;0;0,000000;0,000000
249;9,769167;10,000000;10,000000;10;0;0,000000;0,000000
250;9,875000;10,000000;10,000000;10;0;0,000000;0,000000
251;9,771667;10,000000;10,000000;10;0;0,000000;0,000000
252;9,690833;10,000000;10,000000;10;0;0,000000;0,000000
253;9,697167;10,000000;10,000000;10;0;0,000000;0,000000
254;9,689625;10,000000;10,000000;10;0;0,000000;0,000000
255;9,790000;10,000000;10,000000;10;0;0,000000;0,000000
256;9,749167;10,000000;10,000000;10;0;0,000000;0,000000
257;9,720000;10,000000;10,000000;10;0;0,000000;0,000000
258;9,693333;10,000000;10,000000;10;0;0,000000;0,000000
259;9,695000;10,000000;10,000000;10;0;0,000000;0,000000
260;9,820000;10,000000;10,000000;10;0;0,000000;0,000000
261;9,700000;10,000000;10,000000;10;0;0,000000;0,000000
262;9,608208;10,000000;10,000000;10;0;0,000000;0,000000
263;9,666429;10,000000;10,000000;10;0;0,000000;0,000000
264;9,761667;10,000000;10,000000;10;0;0,000000;0,000000
265;9,700000;10,000000;10,000000;10;0;0,000000;0,000000
266;9,532500;10,000000;10,000000;10;0;0,000000;0,000000
267;9,690000;10,000000;10,000000;10;0;0,000000;0,000000
268;9,595000;10,000000;10,000000;10;0;0,000000;0,000000
269;9,675000;10,000000;10,000000;10;0;0,000000;0,000000
270;9,627143;10,000000;10,000000;10;0;0,000000;0,000000
271;9,570000;10,000000;10,000000;10;0;0,000000;0,000000
272;9,689500;10,000000;10,000000;10;0;0,000000;0,000000
